,Title,ratings,total_reviews,buying_history,alinknormal_URL,Price,Image
0,"Plant-Based Kitchen Sponges - FSC Certified and PETA Approved, Natural, Eco-Friendly, Biodegradable Sisal Hemp Sponges for Dishes, Cleaning Sponge for Kitchen, Bathroom, Household - 12 Count",4.6,248,3K+ bought in past month,https://www.amazon.com/Isshah-Plant-Based-Kitchen-Sponges-Biodegradable/dp/B0CSBG92MF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-1,9.99,https://m.media-amazon.com/images/I/81GEZUgvk2L._AC_UL320_.jpg
1,Reusable Paper Towels Washable Roll - Thick 12-pc Two Layered Ultra Absorbent Paperless Certified Organic Cotton Towels - Large Cloth Kitchen Paper Towel with Hanging Loop,4.6,205,100+ bought in past month,https://www.amazon.com/EcoPledge-Reusable-Paper-Towels-Washable/dp/B0CLHYGVPX/ref=sr_1_2?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-2,24.99,https://m.media-amazon.com/images/I/91-W1NYNeYL._AC_UL320_.jpg
2,"20 Pack Reusable Paper Towels Washable - Nature Friendly - Organic Cotton Alternative - Thick, Strong, Paperless Kitchen Dish Cloths - Reusable Napkins - Dish Towels - Cloth Napkin - Kitchen Towels",4.4,3274,900+ bought in past month,https://www.amazon.com/Reusable-Alternative-Washable-Paperless-Zerowaste/dp/B07PQ4W45S/ref=sr_1_3?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-3,31.94,https://m.media-amazon.com/images/I/81WV3GCPceL._AC_UL320_.jpg
3,"Akeeko Reusable Beeswax Food Wraps - Assorted 9 Packs, Eco-Friendly Reusable Wrap, Biodegradable, Zero Waste, Organic Cloth, Sustainable, Plastic-Free Food Storage, 1Large, 3Medium, 5Small Sizes",4.4,2426,50+ bought in past month,https://www.amazon.com/Reusable-Wraps-Beeswax-Assorted-Packs/dp/B092CBDKWG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-4,13.99,https://m.media-amazon.com/images/I/91UpDUvsk-L._AC_UL320_.jpg
4,"Swedish Dishcloths for Kitchen Dish Towels - 6 Pack, Reusable Paper Towels with Clips, Super Absorbent Washable Non-Scratch Swedish Dish Towels, No Odor, Biodegradable",4.6,1286,100+ bought in past month,https://www.amazon.com/Harps-Seb-Reusable-Swedish-Dishcloths/dp/B0BDGJZTV2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-5,13.9,https://m.media-amazon.com/images/I/91FngmRdt1L._AC_UL320_.jpg
5,"Lucomb Swedish Dishcloths for Kitchen Dishes, 8 Pack Reusable Cleaning Cloths Replace Paper Towels Swedish Towels Cleaning Rags Eco Friendly Biodegradable for Home Office Wipes",4.7,4368,500+ bought in past month,https://www.amazon.com/Lucomb-Dishcloths-Reusable-Cleaning-Biodegradable/dp/B0CC99HWBG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-6,13.99,https://m.media-amazon.com/images/I/81F20rnzUZL._AC_UL320_.jpg
6,"Reusable Beeswax Wrap - 9 Pack Beeswax Wraps For Food, Organic, Sustainable, Biodegradable, Zero Waste, Plastic-Free Food Storage, 1L Strawberry, 3M Orange, 5S Lemon Patterns",4.4,1213,600+ bought in past month,https://www.amazon.com/Reusable-Beeswax-Wrap-Eco-Friendly-Biodegradable/dp/B09WRHLCFG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-7,13.99,https://m.media-amazon.com/images/I/81-cLbynG7L._AC_UL320_.jpg
7,"100% Compostable Food Storage Bags [Quart 100 Pack] Eco-Friendly Freezer Bags, Resealable Bags, Heavy-Duty, Reusable, Off-White by Earth's Natural Alternative",4.4,1365,700+ bought in past month,https://www.amazon.com/Eco-Friendly-Biodegradable-Earths-Natural-Alternative/dp/B08S47J1YJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-8,13.99,https://m.media-amazon.com/images/I/61o+Q1jQkTL._AC_UL320_.jpg
8,Tieralia 5-Piece Eco-Friendly Bamboo Dish Brush Set with Compostable Wood Pulp Sponges | Bamboo Kitchen Cleaning Set,4.4,232,200+ bought in past month,https://www.amazon.com/Tieralia-Bamboo-Kitchen-Sustainable-Eco-Friendly/dp/B098CYHJ34/ref=sr_1_9?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-9,23.99,https://m.media-amazon.com/images/I/910pb+R-1UL._AC_UL320_.jpg
9,"Ultrasonic Pest Control Repeller - Repel Rodents, Ants, Cockroaches Get Rid, Bed Bugs, Mosquitos, Flies, Spiders, Squirrel Bats - Eco-Friendly Safe for Humans - 2 Pack",4.4,86,50+ bought in past month,https://www.amazon.com/Ultrasonic-Pest-Control-Repeller-Eco-Friendly/dp/B0DWF3S94Q/ref=sr_1_10?dib=eyJ2IjoiMSJ9.F8hMRDQGLTNnJld1eHE6MdYJSCQqbvu6_mb5vK62tS_GYGF_uDGYBuU7d86CRm-ghR0-eiigtWB6jxCjFGi-Of3VZvSmNrsT4SdkmKOZVk03Tv5gOOthIjpOERm_ssk60RmK1KzYiWBlUTVk5sjk0XAZmQXB2QCqnsDikOuz5Y4ksbqGkT1jYobI2USxAo_PkhwiSQoZTcssaOdM52XDR-uejCjAOKeDXhtjTiqaRsz_t550HvZx-57FbzBqSj1mywJXYFeJA-w_ppYrDl1M7rV29or67f27LUEz3lKO2XjH-RsK36-trcRpAToo3ERaElpXzsPbFbfn7_KeiynXpz1TvqVMYrp5Zk-RlncGtVc2P59Re0cZUijW-TIo7uY-TQuU3dDm92QO1VlOYcVKm3BD5qoWCjXF5bVDPrYuf6TSEs2zwqgEzjE8QyB9pKng.hPglgJ-D6mYAwa64aLfUngEd7Cjio8hsHE5VxgP-pe4&dib_tag=se&keywords=eco+friendly+home+products&qid=1741331887&sr=8-10,27.99,https://m.media-amazon.com/images/I/810gOH1FLcL._AC_UL320_.jpg
